CUI,CAEN,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11,I12,I13,I14,I15,I16,I17,I18,I19,I20
10376500,5510,24839631,15297350,186415,651957,2135663,156313,812685,4983,105127,39370499,16733960,,9130787,9448014,9347870,100144,0,55385,0,77
18547257,4520,,3969,697,2543,729,,114336,,,-110367,200,,2342,2342,2773,0,431,0,501,
199117,4120,62099009,33663532,6270855,25682737,1544169,118162,46496505,,7922063,41462135,6231454,,47640427,83872843,82701545,1171298,0,586418,0,176
11054529,5221,11162846818,2895217345,263007441,1588918026,1043291878,4724781,1188342999,9997440076,627211859,2249794010,6358659538,0,1022121648,3337990242,3314377965,23612277,0,10492971,0,22629
568656,2811,92794798,72540639,7583145,61219509,3737985,72220,82882436,9081291,1506352,71937578,13036325,,151767209,157998683,154777188,3221495,0,2815330,0,842
1352846,2892,43722390,51601539,36287530,13983352,1330657,2313,32341539,0,248054,62736649,13413648,0,59215309,78650237,77866355,783882,0,783882,0,485
54620,2932,82879843,92882520,33057456,50104866,9720198,,71506858,3670212,,100585293,17766860,,170059987,170929202,168402111,2527091,0,1977555,0,474
341563,2120,127640700,153002761,19007343,88322536,45672882,486951,32678318,18061369,4972209,225418516,98537535,,184240669,187505094,140331359,47173735,0,38424941,0,390
2045262,2830,19271165,48621743,30491493,14551505,3324293,62540,9979134,0,1650755,56325559,23990846,,34767855,40150088,36683530,3466558,0,3164476,0,148
1291838,4690,1654356,7292420,1243873,6037278,11269,,2606518,,,6340258,1928715,,1665436,1840339,1800318,40021,0,21812,0,2
15189596,3511,2406636640,3126203185,47645793,2759333672,319223720,72274,2526395306,7830462,263453298,2735233033,715834690,0,1662289802,1682191170,1695547669,0,13356499,0,11612288,1836
338819,5911,1602852,226601,212920,13663,18,,1389634,,,439819,107735,,167091,167334,219553,0,52219,0,52219,1
1870767,5224,137335317,60385949,863563,15205514,18137698,170948,37032951,22479,518323,160318461,34342574,,74678818,78504000,63954578,14549422,0,12677203,0,396
1196550,2711,12243605,20474272,8893348,6650253,3692625,24196,11180558,770865,,20790650,2000000,,30060923,31333862,26230865,5102997,0,4353103,0,109
128299,4120,32809905,13093493,2291689,4637580,6164224,120668,5079468,2656461,1322917,36965220,1264613,,27751316,34581082,32564507,2016575,0,1961623,0,119
30267310,3511,5831681651,830174026,210549608,540977882,55412758,12650696,2052833804,194276165,1495178208,2932218196,1270318090,,2841343560,2990725537,4159760066,0,1169034529,0,1133531358,13109
1868287,2363,74169624,20168241,174949,18389680,1603612,952,7464248,291819,,86582750,23631668,,3295601,5126646,5906362,0,779716,0,831538,8
1346607,910,33498758,118741335,3165469,110210739,5365127,320024,12878862,,1431025,138250230,27819090,,62720654,68454009,48999716,19454293,0,16886640,0,162
1861319,6820,12034829,650367,126,629662,20579,25210,146990,953305,,11610111,7169299,,581226,767393,669613,97780,0,96574,0,2
108526,5510,202725201,31459810,1230328,11237379,16581598,129774,19405045,3093307,380386,211436047,49614946,,79391953,79691656,68666924,11024732,0,10255638,0,721
3094980,2221,295000262,173367556,68403031,95190368,9774157,532577,258767583,8928,1041001,209082883,107024527,,301466783,345469827,315865283,29604544,0,30034429,0,401
199044,4120,212166716,17698001,32320,8626944,9038737,42552,132687840,1991208,83126,95145095,26391783,,39369777,39595139,32983275,6611864,0,5536984,0,34
