CUI,CAEN,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11,I12,I13,I14,I15,I16,I17,I18,I19
2115198,4773,38935138,34540461,12306982,5913349,16320130,67823,33759870,,,39783552,10608980,87998778,89274271,88980270,294001,0,242313,0,342
1553483,4110,157390347,327113451,282813139,26868132,17432180,131717,93750945,101388,6618,390776564,277866574,148746857,194514454,164904316,29610138,0,29610138,0,55
2157428,2219,51386235,92075440,41527415,44426848,6106780,314996,61831894,1018157,,80926620,24873443,140380472,153763215,147516202,6247013,0,5149820,0,964
335588,2313,342320714,205484197,42145058,149062039,8117860,307723,211870671,41503522,1332412,293406029,40696730,267307856,284314362,261195198,23119164,0,18916834,0,424
655,2651,174036557,1497338,204579,810523,482236,,31322360,,,144211535,9264890,5982340,6776160,6266541,509619,0,460465,0,19
1973096,2110,216979066,314785312,60269602,240613024,13902686,1631279,114465744,2914396,6949158,409066359,67133804,334990734,345079949,310198303,34881646,0,30370811,0,1449
1223604,2599,17648244,46280308,29203003,15732027,1345278,36964,43971963,0,205881,19787672,11881719,40434114,46640528,44798714,1841814,0,1538706,0,450
51,2712,1385973,16547786,9570722,5597396,1379604,4826,3345880,,288531,14304174,4667689,16299073,17126676,15444566,1682110,0,1421126,0,88
1520249,2932,75364316,60224104,27823712,32103487,294301,498837,69060268,3905795,,63121194,82438834,91625571,96666752,96969514,0,302762,0,249182,676
1056654,2811,183183223,68903056,23077003,43568085,2256815,50560,693994537,12457,242024879,-683895034,10993390,55694260,51150057,70266951,0,19116894,0,24870550,822
1145077,1061,73826817,38034852,7590300,27047142,3397410,118330,21837286,650,2856,90139207,23306374,63834670,65499814,63274041,2225773,0,2166966,0,448
2695737,6420,11673173,1874847,,1819970,54877,23718,9992807,,,3578931,3605949,33256,738190,3499832,0,2761642,0,2451676,7
54620,2932,61102120,80155165,16730903,30298103,33126159,0,48170029,6059056,,87028200,17766860,121964833,123289603,116569433,6720170,0,5726929,0,488
1861319,6820,12066707,607290,48,449592,157650,,760101,404948,,11508948,7169299,459977,712809,670913,41896,0,41896,0,2
341563,2120,103471182,133443490,19520394,78263200,35659896,879165,38259087,5360,2382892,197146498,98537535,152304091,151345994,115905309,35440685,0,29477747,0,388
2045262,2830,22815263,35833020,14789473,12994022,4980904,41779,6400623,2277,803745,51483417,23990846,37324149,38332748,35794194,2538554,0,2105150,0,209
18547257,4520,,3763,,2668,1095,,113629,,,-109866,200,4134,4134,3402,732,0,608,0,
1291838,4690,1703267,6315002,332042,5976766,6194,,1803883,,,6214386,1928715,1013920,1383264,1171481,211783,0,189802,0,3
73126,4120,16565703,64058072,3640766,35242198,25175108,113360,42750934,80481,9482242,28423478,3144561,43128448,50328960,49492429,836531,0,531912,0,200
108,2229,19469554,53458075,6630012,13672145,6353429,200508,11324174,,92685,61711278,17072385,57670386,75461602,73623807,1837795,0,1656673,0,69
2071105,3511,68483239,18479183,7618701,7543854,3316628,,25874129,,4625293,56463000,111265809,3000,2427507,3927622,0,1500115,0,1500115,11
7203436,910,50975267,43871405,13794875,23926048,6149954,20865,359337062,0,4177134,-268646659,100232329,48952372,62997700,168246678,0,105248978,0,107218789,250
13328043,3512,3282110608,1950310368,30409647,851149529,933661192,10574113,1570190322,467983601,97106753,3107714413,733031420,2680536934,2752500320,2417910366,334589954,0,272361543,0,2180
1475261,2014,880826820,126131977,52378546,46174210,12146108,190861,1340209035,4269701,36343062,-373672140,34321138,754822697,831060286,796252448,34807838,0,26053353,0,1943
6312800,2711,258049471,131398080,9963598,119970598,1462066,,493531163,1248419,13459020,-118791051,103760291,90190306,108681412,154028169,0,45346757,0,45346757,757
1346607,910,36554174,94859204,2849530,84462527,7547147,264465,10633832,61998,670375,120311638,27819090,31106110,33566361,39284632,0,5718271,0,5820561,183
336206,2120,96922176,342736222,42093203,172732601,127910418,413077,98466402,,35803423,305801650,41696115,420004308,429095466,339633372,89462094,0,73026646,0,
2410163,5224,465139101,45319777,1055927,18261954,26001896,112198,57228088,62454,11688173,441592361,58243025,160578887,162263136,142799150,19463986,0,15419450,0,939
1860712,1920,4667511622,2146327162,829942744,1270492869,45891549,2654093,5187280476,,302311412,1326900989,4410920573,8774321849,9012935084,8986269007,26666077,0,70001508,0,1085
1323700,4321,6308207,5606721,1667936,3689781,249004,148749,13202824,,25612,-1164759,5061637,4637634,5278799,6566154,0,1287355,0,1287355,57
568656,2811,103808410,78464935,9117675,64011731,5335529,,89204800,12344557,8861312,71862676,13579505,180147787,183377073,178812825,4564248,0,4014685,0,1125
566973,6820,,605497,,597981,7516,,534127,,,71370,835083,479,479,14152,0,13673,0,13687,
1763841,2361,13061174,23993879,4561611,11259940,8172328,,4362298,1820652,2781481,28090622,8199548,28749077,29011834,26001960,3009874,0,2647696,0,211
