CUI,CAEN,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11,I12,I13,I14,I15,I16,I17,I18,I19
17473763,5610,3513919,6677999,3548720,2215799,582270,71676,10268260,,,-4666,100000,22546139,22490131,22363258,126873,0,50980,0,83
1868287,2363,78741251,14013714,678891,11800689,1534134,28367,1250749,320651,,91211932,23631668,1464691,3748220,7287959,0,3539739,0,3539739,23
1916198,2361,232168653,42632737,7331709,34712970,588058,750940,61549199,6523394,0,207479737,24266709,67977103,79464315,78047867,1416448,0,1174965,0,380
1151753,3020,56714964,105844501,54062774,29219926,22561801,372268,44631276,11917175,1375846,105007436,12071923,175983220,180982904,148382374,32600530,0,28204462,0,284
13068733,4950,3178577660,2128368698,83714634,1095285371,204335216,7536472,302357632,1045158331,129265431,3837701436,117738440,1750202519,2023522424,1309547728,713974696,0,594564930,0,4665
1132930,3316,63452322,165830662,48459209,35270452,82101001,,39113164,1542,78639188,111529090,47197132,152096365,163482756,145187056,18295700,0,12213227,0,316
7364742,4789,,1990,240,1363,387,,24227,,,-22237,200,50915,50915,50432,483,0,0,47,
1352846,2892,51883452,53770286,37903801,14621400,1245085,4340,30906907,0,246213,74504958,13413648,41510000,49544032,68690984,0,19146952,0,19146952,484
7947193,2731,237399184,682591489,500931379,181058388,601722,29135979,945997890,20839099,,-17710337,42967568,965263750,1043320969,1221757681,0,178436712,0,179413881,560
6770017,4618,15933,15098915,0,12479616,2142098,53388,24883547,,343746,-10059057,29313900,29689779,41902671,48700116,0,6797445,0,6798853,11
1332032,2932,12533246,33804432,16255004,8617959,8931469,43236,10815861,44633,1014585,34505835,5292720,22989791,25006319,23986276,1020043,0,420823,0,22
1578364,4671,9596601,68568352,55721299,12812174,34879,,180401782,9029,6002265,-108248123,6130455,536871,3722846,10243386,0,6520540,0,6520540,8
199044,4120,184613752,12192258,326090,9181618,2684550,31162,102904720,,83126,93849326,26391783,20791837,25411450,19927797,5483653,0,4905037,0,31
913720,2410,154061512,144720280,82408121,61737959,574200,563294,628108788,165113,612040,-329540855,6885012,577275416,607978564,619339135,0,11360571,0,11360571,
1350020,4950,406097040,458556155,8548131,42356060,244598286,255475,52746876,1483982,14965181,795712631,28569842,381646066,416295772,332262404,84033368,0,71546604,0,1670
199001,2814,18325767,7466234,5322295,1596288,547651,31611,31607420,57499,148136,-5989443,4000000,19254634,19512345,22573461,0,3061116,0,2957848,175
1962437,4773,122430042,91107382,36352566,37167987,17586829,371938,77454266,,55096,136400000,51126741,341799985,351196233,343019596,8176637,0,7290748,0,726
1345008,910,12835953,13410551,3367287,8844859,1164665,47594,11034168,,,15259930,1755263,33687773,36120077,35096193,1023884,0,815484,0,201
35787560,4789,,932,,,932,,5660,,,-4728,200,3804,3804,8618,0,4814,0,4928,
24299016,7022,63516,247,,128,119,,106990,,,-43227,200,,,,0,0,0,0,
10874881,3511,7330812585,2005724932,331997241,164940036,263714387,8348645,1623287931,143711664,71288735,7506597832,3015138510,1648408468,1743971063,1613606701,130364362,0,112449451,0,2008
201535,2391,57629299,19586134,12062445,6947525,43432,43278,11943225,6617,172490,65136379,12325438,31457243,33001750,31767264,1234486,0,967965,0,222
14056826,620,6266018568,4976227901,575982659,1226943972,180676755,101629473,1298312896,4931349,364470275,9676161422,385422400,3411867658,3997583082,2716887402,1280695680,0,1024579217,0,6102
723636,1105,13733844,14507349,12808453,1673068,25828,115880,4295224,,500000,23561849,15087134,24985187,28291814,26422845,1868969,0,1528840,0,190
13093222,3523,3488099483,2491668286,213247091,1302280457,84635829,1615588,1800393354,3298069,65091368,4112600566,199245530,4688387209,4881720197,4458833634,422886563,0,369708800,0,626
950531,3030,154928762,255642416,50966947,41522946,38158320,521192,57904661,15034678,124244807,213908224,48728784,356219105,372806669,306941664,65865005,0,56471595,0,1719
1590082,610,34096837510,6945098287,1606439010,3484856263,1853803014,196571548,3990183257,34545117,11212965662,26000813309,5664410834,12523026161,14076569825,13024857504,1051712321,0,907853264,0,14380
1678177,9522,,13119,4088,7975,1056,,19414,,,-6295,200,,,,0,0,0,0,
1812987,4120,3620808,368858,226773,117351,23234,,88449,,,3901217,1444319,207148,646025,954193,0,308168,0,308168,
108526,5510,179808367,16836278,1674896,3667836,11457423,350093,8637930,325370,218621,187812817,49614946,62022062,62664472,56050548,6613924,0,5519118,0,725
1614734,3011,36478247,64443626,38953852,4012407,21477367,42990,11889268,,594374,88481221,28557298,75810237,76981989,73417335,3564654,0,2792859,0,331
622445,1413,5684539,6814463,1571167,2452744,2790552,11576,1770821,0,257085,10482672,2284360,16890499,16194137,15910386,283751,0,195545,0,464
2980547,5510,232810326,25983517,11624892,7021090,7337535,923273,24115679,347699,503299,234750439,57894994,34942411,48416288,42873943,5542345,0,4455307,0,354
1100008,4221,67815450,16390035,4287635,7682899,4419501,13554,79083057,16074,598937,4520971,38133575,10069031,9943451,29335360,0,19391909,0,19391909,109
3094980,2221,130798792,103086808,46229563,46167272,10689973,221101,46783103,,3001086,184322512,56643266,257296114,276427574,231113820,45313754,0,41511533,0,330
3156315,3030,64075671,52559585,35628368,5429724,11501493,120060,66038467,179563,4238968,46298318,36944248,83030250,89481598,76144785,13336813,0,10873045,0,430
16670244,4941,393,143,,,143,,34244,,,-33708,200,14580,14580,456,14124,0,13686,0,0
3906360,2711,41261915,41324465,18462499,19737198,3124768,95267,82973375,,6225185,-6516913,10001205,61284891,54650400,67946705,0,13296305,0,10827484,195
8805340,2620,139,62748,6842,22398,33508,,12504,,,50383,200,121602,121613,68017,53596,0,49947,0,1
128299,4120,29260280,13580789,1364813,6087965,6128011,2266,3697147,3437961,1851457,33856770,1264613,21346984,27703786,23769580,3934206,0,3504095,0,110
1515374,2442,1133170613,1238809060,601240491,310087627,327480942,22851501,1243146670,18824656,1193249,1131666599,356889568,2139862434,2416242882,2335955957,80286925,0,67220024,0,2449
15737613,4690,5220,29034,21559,7475,,,65618,,,-31364,200,,,,0,0,0,0,
10042631,4672,41303730,36974803,10473722,13912946,12588135,160212,21447546,5558196,135087,51297916,6250000,57927503,59279465,57790679,1488786,0,1227939,0,178
1454846,1721,187884626,101034308,27750242,40096520,33187401,739398,99295613,23930661,291803,166140255,103168355,227199402,235733617,213362638,22370979,0,20200395,0,939
13267221,7022,1842156333,2143977590,161206,79052974,197648051,48926,82167574,540944,1758938,3901715393,3459399290,362449129,754281001,482021276,272259725,0,265026108,0,132
67329,2014,52428256,25222731,10380468,11740766,3101497,434940,13950271,17109,,64118547,9916889,26647594,51593709,45598909,5994800,0,2760412,0,86
10376500,5510,22264086,15525894,182048,380505,3026132,158120,2664419,,64373,35219308,16733960,8096577,8439824,7709371,730453,0,608926,0,78
414118,2651,305473292,84081035,17407304,48851441,17822290,2599624,53157560,6611314,1833135,330551942,67603870,236993496,260149347,254915133,5234214,0,4327847,0,583
1510210,2420,508671128,487043693,256502447,213769449,16771797,7726100,512985388,3017,3126323,487326193,291587538,761920075,822594717,821347649,1247068,0,877190,0,1304
677858,2332,117136725,50803734,12220182,9360287,28732544,98303,65197739,1646097,5210768,95984158,11399022,86992222,84549126,74205223,10343903,0,8357813,0,188
788767,2932,365323716,201257449,91976309,108675529,605611,423937,165300413,34422619,1121245,366160825,21882104,638659554,685914977,632492782,53422195,0,51627557,0,1954
199117,4120,48372115,55686612,11403084,36976982,6291213,276190,58523992,,3135381,42675544,6231454,76553336,85621579,84262195,1359384,0,1117803,0,207
156027,2751,43467938,68015050,19582446,17126264,15533792,8152,30501372,4779224,3710324,72500220,6976465,193660811,200673065,180713743,19959322,0,16577153,0,486
56150,5630,101597078,13726281,280791,426829,12951805,94414,17285863,145315,13500,97973095,80356103,20019686,27038555,23729775,3308780,0,3673083,0,183
607321,2712,14188572,3907800,2261748,1628064,17988,,2280748,4687,,15810937,14500000,2455264,3244516,3741702,0,497186,0,497186,70
8422035,8622,264918255,76062900,6399887,55703822,13959191,2724058,254804354,,,88900859,5023000,341731549,364353543,371297991,0,6944448,0,7752853,1629
1755369,1051,133449135,101318841,26517393,72218168,2583280,256885,111003064,3326645,208663,120486489,65270887,527920248,531708376,514519879,17188497,0,16928341,0,677
1132417,1310,9823655,12957663,8244885,3971056,741722,,15131644,684780,13104,6951790,4875513,28233567,28943174,28823294,119880,0,99670,0,
1158050,2221,215776694,58489088,25668487,27205272,5615329,89731,121791070,22233562,,130330881,26412210,181195934,198170501,193941544,4228957,0,4903474,0,885
338819,5911,1207254,271067,212920,46749,11398,8188,1351205,,,135304,107735,128118,133795,196013,0,62218,0,62218,1
1870767,5224,118019540,45057014,599559,10206701,6728809,121231,29234568,180,456679,133506358,34342574,64802898,68770653,56287708,12482945,0,10804286,0,432
448269,2822,874921,13629909,4849246,6478893,2301770,315330,13404912,,,1415248,1528246,23089653,23228080,23006487,221593,0,166873,0,170
